week,도둑들,"광해, 왕이 된 남자",어벤져스,늑대소년,다크 나이트 라이즈,바람과 함께 사라지다,어메이징 스파이더맨,범죄와의 전쟁: 나쁜놈들 전성시대,내 아내의 모든 것,연가시,건축학개론,댄싱퀸,부러진 화살,맨 인 블랙 3,레미제라블,26년,내가 살인범이다,브레이킹 던 part2,후궁 : 제왕의 첩,호빗: 뜻밖의 여정,화차,이웃사람,007 스카이폴,테이큰 2,배틀쉽,장화신은 고양이,타워,코리아,나의 PS 파트너,반창꼬,러브픽션,언터처블: 1%의 우정,아이스 에이지 4: 대륙 이동설,공모자들,마다가스카3 : 이번엔 서커스다!,하울링,용의자X,새미의 어드벤쳐 2,차형사,은교,간첩,간기남,메리다와 마법의 숲,토탈 리콜,R2B: 리턴투베이스,돈의 맛,잃어버린 세계를 찾아서 2: 신비의 섬,회사원,가디언즈,점박이:한반도의 공룡3D,본 레거시,가문의 영광5 - 가문의 귀환,시체가 돌아왔다,원더풀 라디오,돈 크라이 마미,프로메테우스,스텝업4 : 레볼루션,점쟁이들,타이탄의 분노,디스 민즈 워,미확인 동영상 : 절대클릭금지,존 카터: 바숨 전쟁의 서막,나는 왕이로소이다,토르: 마법망치의 전설,스노우 화이트 앤 더 헌츠맨,주먹왕 랄프,미쓰GO,헝거게임: 판엠의 불꽃,맨 온 렛지,파파,백설공주,다크 섀도우,루퍼,레지던트 이블 5 : 최후의 심판,명탐정 코난: 11번째 스트라이커,아부의 왕,페이스메이커,락아웃: 익스트림미션,익스펜더블 2,밀레니엄 : 여자를 증오한 남자들,두 개의 달,늑대소년-확장판,크로니클,링컨: 뱀파이어 헌터,음치 클리닉,무서운 이야기,극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」,모모와 다락방의 수상한 요괴들,빌리와 용감한 녀석들 3D,로렉스,위험한 관계,더 그레이,네버엔딩 스토리,우리는 동물원을 샀다,극장판 포켓몬스터 베스트위시「메로엣타의 반짝반짝 음악회」,짱구는 못말려 극장판: 태풍을 부르는 황금스파이 대작전,가비,19곰 테드,니코: 산타비행단의 모험,잠베지아: 신비한 나무섬의 비밀
개봉일,2012-07-25,2012-09-13,2012-04-26,2012-10-31,2012-07-19,2012-08-08,2012-06-28,2012-02-02,2012-05-17,2012-07-05,2012-03-22,2012-01-18,2012-01-18,2012-05-24,2012-12-19,2012-11-29,2012-11-08,2012-11-15,2012-06-06,2012-12-13,2012-03-08,2012-08-22,2012-10-26,2012-09-27,2012-04-11,2012-01-12,2012-12-25,2012-05-03,2012-12-06,2012-12-19,2012-02-29,2012-03-22,2012-07-25,2012-08-29,2012-06-06,2012-02-16,2012-10-18,2012-08-01,2012-05-30,2012-04-25,2012-09-20,2012-04-11,2012-09-27,2012-08-15,2012-08-15,2012-05-17,2012-01-19,2012-10-11,2012-11-29,2012-01-26,2012-09-06,2012-12-19,2012-03-29,2012-01-05,2012-11-22,2012-06-06,2012-08-15,2012-10-03,2012-03-29,2012-02-29,2012-05-30,2012-03-08,2012-08-08,2012-02-09,2012-05-30,2012-12-19,2012-06-21,2012-04-05,2012-02-22,2012-02-01,2012-05-03,2012-05-10,2012-10-11,2012-09-13,2012-07-19,2012-06-21,2012-01-18,2012-06-14,2012-09-06,2012-01-11,2012-07-12,2012-12-06,2012-03-15,2012-08-30,2012-11-29,2012-07-25,2012-12-19,2012-07-05,2012-08-08,2012-05-03,2012-10-11,2012-02-16,2012-01-18,2012-01-18,2012-12-19,2012-04-26,2012-03-15,2012-09-27,2012-12-25,2012-12-25
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,927,881,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,424,921,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,505,413,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,192,850,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,"9,460,727,500","6,951,481,500",0,0,0,0,0,0,0,0,0,0,0,0,"5,856,850,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,844,733,500",0,0,0,0,0,0,"547,904,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"831,596,000",0,0,0,0,0,0,0,0,0,0,0,0,"1,518,705,500","1,324,960,500",0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,"7,830,440,000","8,779,263,500",0,0,0,0,0,0,0,0,0,0,0,0,"2,915,418,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,513,473,000",0,0,"3,966,293,000",0,0,0,"197,229,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,396,462,000",0,0,"394,919,500",0,0,0,0,0,0,0,0,0,0,0,0,"500,352,500","590,566,000",0,0,0,0,0,0
5,0,0,0,0,0,0,0,"11,824,063,000",0,0,0,"4,025,523,500","5,014,363,500",0,0,0,0,0,0,0,0,0,0,0,0,"822,221,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"369,472,500",0,0,"2,428,119,000",0,0,0,"9,229,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,123,044,000",0,0,0,0,0,0,"814,929,000",0,0,"57,923,500",0,0,0,0,0,0,0,0,0,0,0,0,"28,073,500","54,441,000",0,0,0,0,0,0
6,0,0,0,0,0,0,0,"10,108,576,000",0,0,0,"3,509,380,500","3,210,577,000",0,0,0,0,0,0,0,0,0,0,0,0,"200,567,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"53,580,000",0,0,"1,263,063,500",0,0,0,"2,005,000",0,0,0,0,0,0,0,0,0,"1,832,124,000",0,0,0,0,0,"1,285,705,500",0,0,0,0,0,0,"99,554,000",0,0,"19,260,000",0,0,0,0,0,0,0,0,0,0,0,0,"2,205,500","8,435,500",0,0,0,0,0,0
7,0,0,0,0,0,0,0,"5,928,988,500",0,0,0,"2,290,548,500","1,302,567,000",0,0,0,0,0,0,0,0,0,0,0,0,"35,957,500",0,0,0,0,0,0,0,0,0,"6,266,538,500",0,0,0,0,0,0,0,0,0,0,"2,634,000",0,0,"854,582,000",0,0,0,"772,000",0,0,0,0,0,0,0,0,0,"1,658,258,500",0,0,0,0,0,"376,924,500",0,0,0,0,0,0,"17,211,000",0,0,"3,617,000",0,0,0,0,0,0,0,0,0,0,0,"1,725,355,500","330,000","1,102,500",0,0,0,0,0,0
8,0,0,0,0,0,0,0,"4,208,619,000",0,0,0,"1,870,542,000","470,826,000",0,0,0,0,0,0,0,0,0,0,0,0,"5,383,000",0,0,0,0,0,0,0,0,0,"3,804,415,500",0,0,0,0,0,0,0,0,0,0,"392,000",0,0,"606,076,500",0,0,0,"131,000",0,0,0,0,0,0,0,0,0,"1,151,100,000",0,0,0,0,"3,004,862,500","79,787,500",0,0,0,0,0,0,"2,238,500",0,0,"203,000",0,0,0,0,0,0,0,0,0,0,0,"469,562,000",0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,"2,693,948,500",0,0,0,"798,350,000","71,661,000",0,0,0,0,0,0,0,0,0,0,0,0,"4,196,000",0,0,0,0,"8,699,217,000",0,0,0,0,"1,407,536,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"345,081,500",0,0,0,0,0,0,0,0,0,"2,999,370,000",0,0,0,"628,522,000",0,0,0,0,"1,134,812,500","489,000",0,0,0,0,0,0,"137,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,452,000",0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,"1,100,063,000",0,0,0,"193,286,500","12,391,000",0,0,0,0,0,0,0,"7,178,822,000",0,0,0,0,"6,715,000",0,0,0,0,"3,009,775,500",0,0,0,0,"245,434,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"74,343,500",0,0,0,0,0,0,0,0,0,"1,736,326,500",0,"4,349,831,000",0,"145,563,000",0,0,0,0,"191,445,000","115,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"583,000",0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,"440,247,500",0,0,0,"31,645,500","543,500",0,0,0,0,0,0,0,"6,152,666,500",0,0,0,0,"5,143,500",0,0,0,0,"1,135,286,500",0,0,0,0,"14,663,500",0,0,0,0,0,0,0,0,0,0,0,0,0,"34,715,500",0,0,0,0,0,0,0,0,0,"1,045,856,000",0,"1,922,595,000",0,"69,537,500",0,0,0,0,"14,271,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,136,863,500",0,0,0,0,0,0,0,0,"135,000",0,0,0,0,"1,526,130,000",0,0,0
12,0,0,0,0,0,0,0,"122,782,500",0,0,"6,517,324,000","4,026,500","127,000",0,0,0,0,0,0,0,"3,491,450,500",0,0,0,0,"987,000",0,0,0,0,"240,850,000","4,326,576,000",0,0,0,"516,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"12,322,000",0,0,0,0,0,0,0,0,0,"619,287,000",0,"791,162,500",0,"31,516,000",0,0,0,0,"728,500",0,0,0,0,0,0,0,0,0,0,0,0,0,"642,761,500",0,0,0,0,0,0,0,0,"45,000",0,0,0,0,"365,014,000",0,0,0
13,0,0,0,0,0,0,0,"33,273,500",0,0,"6,292,344,000","861,500",0,0,0,0,0,0,0,0,"1,214,700,000",0,0,0,0,"390,000",0,0,0,0,"28,707,500","3,422,225,500",0,0,0,"47,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"6,441,000",0,0,"3,551,214,000",0,0,0,0,0,"5,741,481,000","203,928,500",0,"110,995,000",0,"5,108,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"71,584,500",0,0,0,0,0,0,0,0,0,0,0,0,0,"26,791,000",0,0,0
