순위,영화명,개봉일,매출액,가중치,매출액 점유율,관객수,스크린수,상영횟수,대표국적,제작국적,배급사,"장르","등급","러닝타임","수상횟수","관람평점","남자 평점","여자 평점"
1,도둑들,2012-07-25,"93,664,808,500","717,472,433,110.00",6.60%,"12,983,178","1,091","155,392",한국,"한국,홍콩",(주)쇼박스,범죄,15,135,9,7.66,6.93,8.36
2,"광해, 왕이 된 남자",2012-09-13,"88,899,448,769","823,208,895,600.94",6.30%,"12,319,390","1,001","203,400",한국,한국,(주)씨제이이엔엠,드라마,15,131,23,9.26,9.25,9.33
3,어벤져스,2012-04-26,"59,557,853,478","565,799,608,041.00",4.20%,"7,074,867",967,"109,697",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,한국소니픽쳐스릴리징브에나비스타영화㈜",액션,12,181,13,9.5,9.52,9.45
4,늑대소년,2012-10-31,"46,590,107,000","403,470,326,620.00",3.30%,"6,654,390",854,"109,069",한국,한국,(주)씨제이이엔엠,로맨스,15,125,4,8.66,7.53,9.25
5,다크 나이트 라이즈,2012-07-19,"47,644,838,000","455,484,651,280.00",3.40%,"6,396,528","1,210","81,254",미국,"미국,영국",워너브러더스 코리아(주),액션,15,164,1,9.56,9.54,9.67
6,바람과 함께 사라지다,2012-08-08,"34,614,661,161","263,071,424,823.60",2.40%,"4,909,937",694,"78,591",한국,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,12,121,1,7.6,6.91,8.21
7,어메이징 스파이더맨,2012-06-28,"41,163,951,235","320,667,180,120.65",2.90%,"4,853,123","1,118","92,755",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12,136,0,7.79,7.36,8.47
8,범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,"36,538,823,500","316,791,599,745.00",2.60%,"4,719,872",713,"91,889",한국,한국,(주)쇼박스,범죄,19,133,12,8.67,8.69,8.66
9,내 아내의 모든 것,2012-05-17,"34,223,620,500","293,980,900,095.00",2.40%,"4,598,821",563,"91,773",한국,한국,(주)넥스트엔터테인먼트월드(NEW),로맨스,15,121,2,8.59,8.44,8.76
10,연가시,2012-07-05,"32,175,400,664","230,375,868,754.24",2.30%,"4,515,833",759,"71,928",한국,한국,(주)씨제이이엔엠,드라마,15,109,2,7.16,6.28,8.08
11,건축학개론,2012-03-22,"30,222,696,000","199,469,793,600.00",2.10%,"4,111,068",593,"106,067",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,로맨스,12,118,5,6.6,6.45,6.75
12,댄싱퀸,2012-01-18,"30,130,775,500","235,321,356,655.00",2.10%,"4,058,225",544,"80,987",한국,한국,(주)씨제이이엔엠,드라마,0,92,3,7.81,7.71,7.93
