week,극한직업,어벤져스: 엔드게임,겨울왕국 2,알라딘,기생충,엑시트,스파이더맨: 파 프롬 홈,백두산,캡틴 마블,조커,봉오동 전투,라이온 킹,나쁜 녀석들: 더 무비,82년생 김지영,분노의 질주: 홉스&쇼,토이 스토리 4,돈,악인전,가장 보통의 연애,말모이,증인,시동,블랙머니,터미네이터: 다크 페이트,사바하,타짜: 원 아이드 잭,신의 한 수: 귀수편,알리타: 배틀 엔젤,내안의 그놈,뺑반,변신,주먹왕 랄프 2: 인터넷 속으로,걸캅스,사자,드래곤 길들이기 3,나의 특별한 형제,어스,말레피센트 2,유열의 음악앨범,퍼펙트맨,포드 V 페라리,생일,"힘을 내요, 미스터 리",장사리 : 잊혀진 영웅들,마이펫의 이중생활 2,롱 리브 더 킹: 목포 영웅,쥬만지: 넥스트 레벨,존 윅 3: 파라벨룸,천문: 하늘에 묻는다,나랏말싸미,엑스맨: 다크 피닉스,맨 인 블랙: 인터내셔널,레드슈즈,뽀로로 극장판 보물섬 대모험,캣츠,명탐정 피카츄,신비아파트 극장판 하늘도깨비 대 요르문간드,나이브스 아웃,샤잠!,날씨의 아이,나를 찾아줘,광대들: 풍문조작단,그것: 두 번째 이야기,극장판 헬로카봇 : 달나라를 구해줘!,극장판 헬로카봇: 옴파로스 섬의 비밀,이스케이프 룸,양자물리학,애드 아스트라,47미터 2,애나벨 집으로,감쪽같은 그녀,글래스,해피 데스데이 2 유,극장판 공룡메카드: 타이니소어의 섬,제미니 맨,고질라: 킹 오브 몬스터,덤보,러브 유어셀프 인 서울,브링 더 소울 : 더 무비,아담스 패밀리,헬보이,예스터데이,미성년,배심원들,기방도령,신데렐라:마법 반지의 비밀,원스 어폰 어 타임... 인 할리우드,기묘한 가족,악질경찰,라스트 크리스마스,메리 포핀스 리턴즈,명탐정 코난: 감청의 권,어린 의뢰인,비스트,요로나의 저주,언니,언더독,롱 샷,앵그리 버드 2: 독수리 왕국의 침공,우상
개봉일,2019-01-23,2019-04-24,2019-11-21,2019-05-23,2019-05-30,2019-07-31,2019-07-02,2019-12-19,2019-03-06,2019-10-02,2019-08-07,2019-07-17,2019-09-11,2019-10-23,2019-08-14,2019-06-20,2019-03-20,2019-05-15,2019-10-02,2019-01-09,2019-02-13,2019-12-18,2019-11-13,2019-10-30,2019-02-20,2019-09-11,2019-11-07,2019-02-05,2019-01-09,2019-01-30,2019-08-21,2019-01-03,2019-05-09,2019-07-31,2019-01-30,2019-05-01,2019-03-27,2019-10-17,2019-08-28,2019-10-02,2019-12-04,2019-04-03,2019-09-11,2019-09-25,2019-07-31,2019-06-19,2019-12-11,2019-06-26,2019-12-26,2019-07-24,2019-06-05,2019-06-12,2019-07-25,2019-04-25,2019-12-24,2019-05-09,2019-12-19,2019-12-04,2019-04-03,2019-10-30,2019-11-27,2019-08-21,2019-09-04,2019-09-04,2019-01-31,2019-03-14,2019-09-25,2019-09-19,2019-08-28,2019-06-26,2019-12-04,2019-01-17,2019-02-14,2019-01-10,2019-10-09,2019-05-29,2019-03-27,2019-01-26,2019-08-07,2019-11-07,2019-04-10,2019-09-18,2019-04-11,2019-05-15,2019-07-10,2019-02-20,2019-09-25,2019-02-13,2019-03-20,2019-12-05,2019-02-14,2019-07-24,2019-05-22,2019-06-26,2019-04-17,2019-01-01,2019-01-16,2019-07-24,2019-08-07,2019-03-20
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,681,412,798",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,614,790,950",0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,605,723,091",0,0,0,0,0,0,0,0,"7,964,194,056",0,0,"3,742,845,205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,431,933,640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"127,173,600",0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,205,434,992",0,0,0,0,0,0,0,0,"6,683,669,121",0,0,"1,639,485,480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,714,732,252",0,"518,287,950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,145,700","935,441,490",0,0,0
4,"33,461,543,440",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,667,409,460",0,0,0,0,0,0,0,0,"1,428,612,610",0,0,"754,707,570",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"527,924,050",0,"161,509,930",0,0,0,"2,530,698,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"65,000","295,338,740",0,0,0
5,"47,725,701,353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"863,788,387",0,0,0,0,0,0,0,0,"90,758,230","10,653,232,077",0,"45,830,960",0,0,"6,832,133,916",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,443,214,240",0,0,0,0,0,0,"23,005,680",0,"7,550,400",0,0,0,"483,836,400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,421,400",0,0,0
6,"33,213,370,069",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"315,880,790",0,0,0,0,0,0,0,"12,600,020,939","10,198,300","4,153,122,841",0,"5,598,710",0,0,"3,322,024,350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"716,747,190",0,0,0,0,0,0,"2,680,000",0,"6,118,000",0,0,0,"195,148,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,108,100",0,0,0
7,"12,578,383,134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24,141,100","7,380,978,551",0,0,0,0,0,0,"4,027,807,155","8,158,250","282,908,070",0,"2,749,000",0,0,"1,088,386,610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"204,215,440",0,0,0,0,0,0,"999,000","2,956,665,880","163,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,880,009,965",0,0,"1,341,047,890",0,0,0,0,0,"4,277,600",0,0,0
8,"6,494,053,770",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,497,100","6,084,267,850",0,0,0,"11,747,377,613",0,0,"1,304,317,793","5,858,500","4,453,060",0,"2,132,000",0,0,"573,492,550",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"75,957,320",0,0,0,0,0,0,0,"418,420,490",0,0,0,0,0,0,0,0,0,0,0,0,"1,243,871,450",0,"117,645,910",0,0,"372,602,970",0,0,0,0,0,"5,995,000",0,0,0
9,"4,425,120,160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,339,000","5,058,313,560",0,0,0,"6,620,335,001",0,0,"419,642,300",0,"119,000",0,"1,843,000",0,0,"386,261,750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,088,270",0,0,0,0,0,0,0,"55,773,530",0,0,0,0,0,0,0,0,0,0,0,0,"727,477,270",0,"8,799,900",0,0,"77,820,210",0,0,0,0,0,"2,265,000",0,0,0
