week,남산의 부장들,다만 악에서 구하소서,반도,히트맨,테넷,#살아있다,강철비2: 정상회담,담보,닥터 두리틀,삼진그룹 영어토익반,정직한 후보,도굴,클로젯,오케이 마담,해치지않아,결백,1917.,작은 아씨들,지푸라기라도 잡고 싶은 짐승들,미스터 주: 사라진 VIP,인비저블맨,나쁜 녀석들: 포에버,국제수사,침입자,스타워즈: 라이즈 오브 스카이워커,스파이 지니어스,이웃사촌,온워드: 단 하루의 기적,소리도 없이,버즈 오브 프레이(할리 퀸의 황홀한 해방),원더 우먼 1984.,오! 문희,그린랜드,런,뮬란,내가 죽던 날,검객,조제,사라진 시간,트롤: 월드 투어,미스터트롯: 더 무비,브레이크 더 사일런스: 더 무비,21 브릿지: 테러 셧다운,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,수퍼 소닉,언힌지드,언더워터,디바,죽지않는 인간들의 밤,저 산 너머,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,소리꾼,젠틀맨,극장판 미니특공대: 공룡왕 디노,페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,빅샤크3: 젤리몬스터 대소동,뉴 뮤턴트,극장판 미니특공대: 햄버거괴물의 습격,마이 스파이,더 프린세스 : 도둑맞은 공주,나의 첫 번째 슈퍼스타,프리키 데스데이,아웃포스트,스케어리 스토리:어둠의 속삭임,아이즈 온 미 : 더 무비,다만 악에서 구하소서 파이널컷,애프터: 그 후,콜 오브 와일드,오픈 더 도어,"하이, 젝시",더 보이 2: 돌아온 브람스,킹덤 오브 헤븐: 디렉터스 컷,더 프롬,오즈의 마법사: 요술구두와 말하는 책,에이바,하이큐!! 땅 VS 하늘,테슬라,극장판 원피스 스탬피드,인베이젼 2020,비밀정보원: 인 더 프리즌,시원찮은 그녀를 위한 육성방법 피날레,강철비2 : 정상회담 확장판,택스 콜렉터,킹덤,이 멋진 세계에 축복을! 붉은 전설,핑크퐁 시네마 콘서트 : 우주대탐험,800.,극장판 요괴워치: 포에버 프렌즈,극장판 엉덩이 탐정: 텐텐마을의 수수께끼,부활,가나의 혼인잔치: 언약,슈퍼스타 뚜루,숀더쉽 더 무비: 꼬마 외계인 룰라!,언플랜드,그레텔과 헨젤,레미제라블: 뮤지컬 콘서트,레옹 디 오리지널,나이트 헌터,루팡 3세: 더 퍼스트
개봉일,2020-01-22,2020-08-05,2020-07-15,2020-01-22,2020-08-26,2020-06-24,2020-07-29,2020-09-29,2020-01-08,2020-10-21,2020-02-12,2020-11-04,2020-02-05,2020-08-12,2020-01-15,2020-06-10,2020-02-19,2020-02-12,2020-02-19,2020-01-22,2020-02-26,2020-01-15,2020-09-29,2020-06-04,2020-01-08,2020-01-22,2020-11-25,2020-06-17,2020-10-15,2020-02-05,2020-12-23,2020-09-02,2020-09-29,2020-11-20,2020-09-17,2020-11-12,2020-09-23,2020-12-10,2020-06-18,2020-04-29,2020-10-22,2020-09-24,2020-01-01,2020-08-20,2020-02-12,2020-10-07,2020-05-27,2020-09-23,2020-09-29,2020-04-30,2020-09-29,2020-09-30,2020-07-01,2020-02-26,2020-02-06,2020-10-22,2020-07-29,2020-09-10,2020-09-30,2020-04-29,2020-08-12,2020-06-10,2020-11-25,2020-09-23,2020-03-25,2020-06-10,2020-10-28,2020-10-07,2020-05-14,2020-04-08,2020-02-19,2020-03-05,2020-11-11,2020-12-02,2020-01-22,2020-09-09,2020-01-23,2020-10-28,2020-02-13,2020-07-01,2020-04-15,2020-02-27,2020-09-30,2020-11-18,2020-04-29,2020-02-06,2020-01-30,2020-12-10,2020-10-15,2020-09-24,2020-07-09,2020-11-26,2020-06-04,2020-02-19,2020-12-17,2020-07-08,2020-05-13,2020-06-11,2020-01-29,2020-05-21
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"675,305,400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,"9,155,127,330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,909,745,810",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"84,039,700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,"3,509,054,320",0,0,0,0,0,"7,634,983,720",0,0,0,0,0,0,"4,223,331,680",0,0,"676,269,560",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,782,100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"30,260,265,290",0,0,"13,843,386,530",0,0,0,0,"672,830,280",0,0,0,0,0,"1,959,902,810",0,0,0,0,"1,485,140,150",0,"490,074,520",0,0,"87,028,100","248,214,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,316,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"169,800,440",0,"117,874,940",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"7,554,515,120",0,0,"5,027,758,660",0,0,0,0,"100,036,030",0,0,0,0,0,"348,887,150",0,0,0,0,"3,178,934,870",0,"148,045,440",0,0,"18,263,740","2,726,880,400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"140,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,422,120",0,"28,809,380",0,0,0,0,0,0,0,0,0,"84,059,500",0,0,0,0,0,0,0,0,0,0,0,"70,352,100",0
6,`,0,0,"1,396,322,170",0,0,0,0,"896,800",0,0,0,"7,167,820,420",0,"10,106,910",0,0,0,0,"346,717,340",0,"5,996,160",0,0,"5,332,000","599,603,100",0,0,0,"2,808,873,450",0,0,0,0,0,0,0,0,0,0,0,0,"100,000",0,0,0,0,0,0,0,0,0,0,0,"355,837,280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,184,760",0,"19,183,040",0,0,0,0,0,0,0,0,"95,498,560","15,698,000",0,0,0,0,0,0,0,0,0,0,0,"2,600,000",0
7,"949,329,510",0,0,"195,913,540",0,0,0,0,"4,953,000",0,"9,128,927,820",0,"3,149,403,460",0,"8,793,000",0,0,"4,633,356,690",0,"32,447,300",0,"9,519,960",0,0,"39,000","101,313,240",0,0,0,"664,341,220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"798,730,490",0,0,0,0,0,0,0,0,0,"200,961,280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,142,660",0,"175,277,280",0,0,0,0,0,0,"41,928,260","2,265,000",0,0,0,0,0,0,0,0,0,0,0,"263,000",0
8,"60,607,660",0,0,"2,305,780",0,0,0,0,"2,100,000",0,"2,399,070,100",0,"487,527,740",0,"300,000",0,"2,921,732,020","1,378,407,740","3,560,592,350","1,001,000",0,0,0,0,0,"3,211,440",0,0,0,"51,398,280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"96,726,300",0,0,0,0,0,0,0,0,0,"26,449,980",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"190,444,500",0,0,0,0,0,"5,259,980",0,"6,190,720",0,0,0,0,0,0,"12,542,880",0,0,0,0,0,0,0,"77,292,080",0,0,0,0,"18,000",0
9,"8,449,640",0,0,"2,480,380",0,0,0,0,"600,000",0,"567,617,990",0,"46,198,440",0,0,0,"1,206,382,120","464,752,620","913,649,680","875,000","1,674,691,940",0,0,0,0,"54,000",0,0,0,"7,267,140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,483,200",0,0,0,0,0,0,0,0,"416,709,450","3,897,480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,557,500",0,0,0,0,0,"7,007,320",0,"365,500",0,0,"50,323,480",0,0,0,"569,980",0,0,0,0,0,0,0,"6,144,380",0,0,0,0,"2,000",0
