week,스파이더맨: 노 웨이 홈,모가디슈,이터널스,블랙 위도우,분노의 질주: 더 얼티메이트,싱크홀,극장판 귀멸의 칼날: 무한열차편,베놈 2: 렛 데어 비 카니지,소울,크루엘라,샹치와 텐 링즈의 전설,인질,듄,보이스,007 노 타임 투 다이,발신제한,보스 베이비 2,콰이어트 플레이스 2,랑종,유체이탈자,컨저링3: 악마가 시켰다,기적,고질라 VS. 콩,킹스맨: 퍼스트 에이전트,엔칸토: 마법의 세계,연애 빠진 로맨스,장르만 로맨스,미션 파서블,더 수어사이드 스쿼드,비와 당신의 이야기,서복,킬러의 보디가드 2,루카,자산어보,내일의 기억,라야와 마지막 드래곤,프리 가이,더 스파이,강릉,정글 크루즈,명탐정 코난: 비색의 탄환,캐시트럭,크루즈 패밀리: 뉴 에이지,이스케이프 룸 2: 노 웨이 아웃,"극장판 포켓몬스터: 정글의 아이, 코코",극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,매트릭스: 리저렉션,방법: 재차의,새해전야,고장난 론,카오스 워킹,파이프라인,톰과 제리,노바디,스파이럴,올드,해피 뉴 이어,고스트버스터즈 라이즈,아담스 패밀리 2,디어 에반 핸슨,미드나이트,몬스터 헌터,여고괴담 여섯번째 이야기 : 모교,귀문,어니스트 씨프,도라에몽: 스탠바이미 2,맨 인 더 다크 2,돈 룩 업,용과 주근깨 공주,극장판 도라에몽: 진구의 신공룡,귀멸의 칼날: 남매의 연,명탐정 코난: 진홍의 수학여행,퍼피 구조대 더 무비,라스트 듀얼: 최후의 결투,내가 죽기를 바라는 자들,캔디맨,인 더 하이츠,라스트 나잇 인 소호,귀멸의 칼날: 나타구모산 편,말리그넌트,모탈 컴뱃,리스타트,아이,건파우더 밀크셰이크,레미니센스,은혼 더 파이널,뱅드림! 필름 라이브 세컨드 스테이지,괴기맨숀,극장판 소드 아트 온라인 -프로그레시브- 별 없는 밤의 아리아,아야와 마녀,몬스타엑스 : 더 드리밍,신데렐라 2: 마법에 걸린 왕자,극장판 바다 탐험대 옥토넛 : 불의 고리 대폭발,퍼펙트 케어,아이스 로드,귀멸의 칼날: 주합회의·나비저택 편,마크맨,굴뚝마을의 푸펠,F20,보이저스
개봉일,2021-12-15,2021-07-28,2021-11-03,2021-07-07,2021-05-19,2021-08-11,2021-01-27,2021-10-13,2021-01-20,2021-05-26,2021-09-01,2021-08-18,2021-10-20,2021-09-15,2021-09-29,2021-06-23,2021-07-21,2021-06-16,2021-07-14,2021-11-24,2021-06-03,2021-09-15,2021-03-25,2021-12-22,2021-11-24,2021-11-24,2021-11-17,2021-02-17,2021-08-04,2021-04-28,2021-04-15,2021-06-23,2021-06-17,2021-03-31,2021-04-21,2021-03-04,2021-08-11,2021-04-28,2021-11-10,2021-07-28,2021-04-16,2021-06-09,2021-05-05,2021-07-14,2021-09-15,2021-09-15,2021-12-22,2021-07-28,2021-02-10,2021-10-27,2021-02-24,2021-05-26,2021-02-24,2021-04-07,2021-05-12,2021-08-18,2021-12-29,2021-12-01,2021-11-10,2021-11-17,2021-06-30,2021-02-10,2021-06-17,2021-08-25,2021-02-03,2021-05-19,2021-09-01,2021-12-08,2021-09-29,2021-08-05,2021-11-10,2021-01-27,2021-08-18,2021-10-20,2021-05-05,2021-09-22,2021-06-30,2021-12-01,2021-11-17,2021-09-15,2021-04-08,2021-03-11,2021-02-10,2021-09-08,2021-08-25,2021-07-22,2021-11-18,2021-06-30,2021-12-09,2021-06-10,2021-12-08,2021-12-22,2021-04-28,2021-02-19,2021-07-21,2021-12-01,2021-04-28,2021-05-26,2021-10-06,2021-05-26
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,"4,551,045,680",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,"1,910,540,140",0,"4,010,887,260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"371,075,830",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,"2,475,839,420",0,"3,016,784,070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"549,096,910",0,0,0,0,0,0,"109,680,080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,"1,709,252,260",0,"3,307,077,710",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,335,429,550",0,0,0,0,0,0,0,0,0,0,0,0,"870,639,460",0,0,"144,979,880",0,0,0,0,0,0,"45,366,670",0,0,0,0,0,0,0,0,0,0,"236,070,250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,"1,248,019,440",0,"1,567,933,490",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,978,241,750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"193,903,540",0,0,0,0,0,0,0,0,0,0,0,0,"91,970,640",0,0,"11,754,070",0,0,0,0,0,0,"8,357,080",0,0,0,0,0,0,0,0,0,0,"45,906,400",0,0,0,0,0,0,0,0,0,0,"130,786,300",0,0,0,0,0,0
8,0,0,0,0,0,0,"1,570,966,160",0,"1,338,510,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,394,196,410",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,829,360",0,"1,039,882,510",0,"995,078,240",0,0,0,0,0,0,0,0,"4,297,550",0,0,"17,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,089,770",0,0,0,0,0,0,0,0,0,0,"55,219,400",0,0,0,0,0,0
9,0,0,0,0,0,0,"1,399,101,590",0,"490,050,050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"422,409,140",0,0,0,0,0,0,0,"1,356,048,290",0,0,0,0,0,0,0,0,0,0,0,0,"6,308,400",0,"140,331,290",0,"137,418,450",0,0,0,0,0,0,0,0,"512,100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"753,500",0,0,0,0,0,0,0,0,0,0,"15,268,580",0,0,0,0,0,0
