week,범죄도시2,탑건: 매버릭,아바타: 물의 길,한산: 용의 출현,공조2: 인터내셔날,닥터 스트레인지: 대혼돈의 멀티버스,헌트,올빼미,쥬라기 월드: 도미니언,마녀(魔女) Part2. The Other One,토르: 러브 앤 썬더,미니언즈2,블랙 팬서: 와칸다 포에버,비상선언,육사오(6/45),헤어질 결심,외계+인 1부,영웅,해적: 도깨비 깃발,브로커,신비한 동물들과 덤블도어의 비밀,인생은 아름다워,더 배트맨,데시벨,정직한 후보2,씽2게더,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,블랙 아담,킹메이커,자백,언차티드,경관의 피,극장판 주술회전 0,압꾸정,극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,이상한 나라의 수학자,명탐정 코난: 할로윈의 신부,동감,모비우스,늑대사냥,뽀로로 극장판 드래곤캐슬 대모험,특송,니 부모 얼굴이 보고 싶다,놉,리멤버,배드 가이즈,뜨거운 피,신비아파트 극장판 차원도깨비와 7개의 세계,버즈 라이트이어,탄생,수퍼 소닉2,DC 리그 오브 슈퍼-펫,나일 강의 죽음,아바타 리마스터링,극장판 헬로카봇: 수상한 마술단의 비밀,문폴,극장판 뽀로로와 친구들: 바이러스를 없애줘!,원피스 필름 레드,오펀: 천사의 탄생,극장판 엄마 까투리: 도시로 간 까투리 가족,앵커,공기살인,극장판 엉덩이 탐정: 수플레 섬의 비밀,젠틀맨,불릿 트레인,하우스 오브 구찌,웨스트 사이드 스토리,극장판 안녕 자두야: 제주도의 비밀,눈의 여왕5: 스노우 프린세스와 미러랜드의 비밀,앰뷸런스,로스트 시티,서울괴담,스트레인지 월드,블랙폰,스마일,엘비스,스텔라,폴: 600미터,인민을 위해 복무하라,프레이 포 더 데블,리미트,극장판 5등분의 신부,엔시티 드림 더 무비 : 인 어 드림,빅샤크4: 바다공룡 대모험,더 킬러: 죽어도 되는 아이,티켓 투 파라다이스,시맨틱 에러: 더 무비,본즈 앤 올,인생은 뷰티풀: 비타돌체,아인보: 아마존의 전설,컴백홈,355.,나의 히어로 아카데미아 더 무비: 월드 히어로즈 미션,세븐틴 파워 오브 러브 : 더 무비,극장판 도라에몽: 진구의 우주소전쟁 리틀스타워즈 2021,루이스 웨인: 사랑을 그린 고양이 화가,귀못,나이트메어 앨리,민스미트 작전,배니싱: 미제사건
개봉일,2022-05-18,2022-06-22,2022-12-14,2022-07-27,2022-09-07,2022-05-04,2022-08-10,2022-11-23,2022-06-01,2022-06-15,2022-07-06,2022-07-20,2022-11-09,2022-08-03,2022-08-24,2022-06-29,2022-07-20,2022-12-21,2022-01-26,2022-06-08,2022-04-13,2022-09-28,2022-03-01,2022-11-16,2022-09-28,2022-01-05,2022-09-28,2022-10-19,2022-01-26,2022-10-26,2022-02-16,2022-01-05,2022-02-17,2022-11-30,2022-06-01,2022-03-09,2022-07-13,2022-11-16,2022-03-30,2022-09-21,2022-07-28,2022-01-12,2022-04-27,2022-08-17,2022-10-26,2022-05-04,2022-03-23,2022-12-14,2022-06-15,2022-11-30,2022-04-06,2022-08-10,2022-02-09,2022-09-21,2022-09-28,2022-03-16,2022-12-01,2022-11-30,2022-10-12,2022-09-08,2022-04-20,2022-04-22,2022-05-05,2022-12-28,2022-08-24,2022-01-12,2022-01-12,2022-01-27,2022-12-22,2022-04-06,2022-04-20,2022-04-27,2022-11-23,2022-09-07,2022-10-06,2022-07-13,2022-04-06,2022-11-16,2022-02-23,2022-12-07,2022-08-31,2022-09-22,2022-11-30,2022-07-06,2022-07-13,2022-10-12,2022-08-31,2022-11-30,2022-09-07,2022-10-26,2022-10-05,2022-02-09,2022-03-09,2022-04-20,2022-08-03,2022-04-06,2022-10-19,2022-02-23,2022-05-11,2022-03-30
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,004,010,700",0,0,0,0,0,"4,186,774,740",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,836,057,970",0,0,0,0,0,"1,472,753,130",0,0,0,0,0,0,0,0,0,"2,538,713,020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"784,657,900","896,665,270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,484,060,290",0,0,0,0,0,"909,029,990",0,0,0,0,0,0,0,0,0,"1,361,764,640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"326,492,890","225,425,090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,044,757,130",0,0,0,0,0,0,"810,210,840",0,0,"3,828,131,320",0,0,"65,394,390",0,0,0,0,0,0,0,0,0,"121,444,970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"122,231,400","28,620,720","598,081,150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,636,353,010",0,0,0,0,0,0,"598,243,230",0,0,"2,278,473,050",0,0,"36,571,170",0,0,0,0,0,0,0,0,0,"63,736,670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"114,733,370","27,284,860","222,769,350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,034,455,550",0,0,0,0,0,0,"196,414,810",0,0,"771,661,540",0,0,"6,499,800",0,0,0,0,0,0,0,0,0,"8,911,800",0,0,0,0,0,0,0,0,0,0,"1,579,610,770",0,0,0,0,0,0,0,0,0,0,0,0,"43,433,700","6,615,200","92,826,940",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"330,382,160",0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"317,232,290",0,0,0,0,0,0,"115,784,880",0,0,"240,684,200",0,"4,084,064,760","9,366,300","2,030,477,520",0,0,0,0,0,0,0,0,"14,236,000",0,0,0,0,0,0,0,0,0,0,"475,130,240",0,0,0,0,0,0,0,0,0,0,0,0,"13,121,970","12,048,000","59,154,620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34,240,200",0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"173,310,870",0,0,0,0,0,0,"72,981,420",0,0,"88,422,410",0,"2,183,352,750","1,000,000","1,139,104,400",0,0,0,0,0,0,0,0,"6,084,000",0,0,0,0,0,0,0,0,0,0,"141,569,210",0,0,0,0,0,0,0,0,0,0,0,0,"2,511,500","10,407,500","41,819,280",0,0,0,0,0,0,0,0,0,0,"499,139,660",0,0,0,0,0,0,0,0,0,0,0,0,"19,085,230",0,0,0,0,0,"260,611,080",0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,881,400",0,0,0,"5,330,577,140",0,0,"17,600,400",0,0,"26,244,190",0,"515,223,340",0,"857,928,740",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,017,760",0,0,0,0,0,0,0,0,0,0,0,0,"1,493,000","3,714,500","19,838,940",0,0,0,0,0,0,0,0,0,0,"117,562,390",0,0,0,0,0,0,0,0,0,0,0,0,"1,000,000",0,0,0,0,0,"77,922,170",0,0
