week,7번방의 선물,설국열차,관상,아이언맨 3,베를린,은밀하게 위대하게,변호인,숨바꼭질,더 테러 라이브,감시자들,월드 워 Z,신세계,박수건달,스파이,그래비티,감기,토르: 다크 월드,레드: 더 레전드,친구 2,어바웃 타임,나우 유 씨 미 : 마술사기단,소원,퍼시픽 림,화이: 괴물을 삼킨 아이,컨저링,맨 오브 스틸,용의자,호빗: 스마우그의 폐허,몽타주,터보,연애의 온도,지.아이.조 2,분노의 질주: 더 맥시멈,공범,집으로 가는 길,전설의 주먹,파파로티,스타트렉 다크니스,오블리비언,위대한 개츠비,다이하드: 굿 데이 투 다이,런닝맨,미스터 고,결혼전야,깡철이,엘리시움,더 웹툰: 예고살인,웜 바디스,고령화 가족,헝거게임: 캣칭 파이어,더 울버린,동창생,에픽 : 숲속의 전설,전국노래자랑,슈퍼배드 2,잭 더 자이언트 킬러,크루즈 패밀리,뽀로로 극장판 슈퍼썰매 대모험,개구쟁이 스머프 2,몬스터 호텔,열한시,몬스터 대학교,남쪽으로 튀어,하늘에서 음식이 내린다면 2,잭 리처,더 파이브,더 임파서블,인시디어스: 두번째 집,섀도우 헌터스: 뼈의 도시,화이트 하우스 다운,애프터 어스,사이코메트리,퍼시 잭슨과 괴물의 바다,남자사용설명서,다이노소어 어드벤처 3D,무서운 이야기 2,캐치미,썬더와 마법저택,노브레싱,클라우드 아틀라스,창수,명탐정 코난 : 수평선상의 음모,론 레인저,스토커,오즈 그레이트 앤드 파워풀,미나문방구,차이니즈 조디악,빌리와 용감한 녀석들 2,이스케이프 플랜,눈의 여왕,롤러코스터,헨젤과 그레텔: 마녀 사냥꾼 3D,파이스토리 : 악당상어 소탕작전,장고:분노의 추적자,밤의 여왕,캡틴 필립스,분노의 윤리학,잡스,세이빙 산타,짱구는 못말려 극장판:태풍을 부르는 나와 우주의 프린세스
개봉일,2013-01-23,2013-08-01,2013-09-11,2013-04-25,2013-01-30,2013-06-05,2013-12-18,2013-08-14,2013-07-31,2013-07-03,2013-06-20,2013-02-21,2013-01-09,2013-09-05,2013-10-17,2013-08-14,2013-10-30,2013-07-18,2013-11-14,2013-12-05,2013-08-22,2013-10-02,2013-07-11,2013-10-09,2013-09-17,2013-06-13,2013-12-24,2013-12-12,2013-05-16,2013-07-25,2013-03-21,2013-03-28,2013-05-22,2013-10-24,2013-12-11,2013-04-10,2013-03-14,2013-05-30,2013-04-11,2013-05-16,2013-02-06,2013-04-04,2013-07-17,2013-11-21,2013-10-02,2013-08-29,2013-06-27,2013-03-14,2013-05-09,2013-11-21,2013-07-25,2013-11-06,2013-08-07,2013-05-01,2013-09-12,2013-02-28,2013-05-16,2013-01-23,2013-08-01,2013-01-17,2013-11-28,2013-09-12,2013-02-06,2013-11-21,2013-01-17,2013-11-14,2013-01-17,2013-12-05,2013-09-12,2013-06-27,2013-05-30,2013-03-07,2013-09-12,2013-02-14,2013-12-19,2013-06-05,2013-12-18,2013-12-24,2013-10-30,2013-01-09,2013-11-28,2013-08-07,2013-07-04,2013-02-28,2013-03-07,2013-05-16,2013-02-27,2013-02-21,2013-12-05,2013-02-07,2013-10-17,2013-02-14,2013-01-10,2013-03-21,2013-10-17,2013-10-23,2013-02-21,2013-08-29,2013-12-19,2013-04-25
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,"9,654,270,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,578,500,128",0,0,0,0,0,0,0,0,0,0,0,0,"1,270,115,000",0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,"10,576,704,569",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,446,485,500",0,0,0,0,"4,306,180,500",0,"3,106,277,500",0,0,0,0,0,0,0,0,0,0,0,0,"710,991,599",0,0,0,0,0,0,0,0,0,0,0,0,"461,402,000",0,0,0,0,0,0,0
4,"16,640,528,702",0,0,0,0,0,0,0,0,0,0,0,"6,171,170,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,997,971,000",0,"1,809,410,000",0,0,0,0,"1,336,088,000",0,"1,019,040,500",0,0,0,0,0,0,0,0,0,0,0,0,"71,833,000",0,0,0,0,0,0,0,0,0,0,0,0,"38,731,500",0,0,0,0,0,0,0
5,"16,021,482,777",0,0,0,"18,363,126,621",0,0,0,0,0,0,0,"1,659,405,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,009,888,500",0,"738,056,000",0,0,0,0,"107,511,500",0,"267,249,500",0,0,0,0,0,0,0,0,0,0,0,0,"16,314,500",0,0,0,0,0,0,0,0,0,"1,213,264,000",0,0,"7,969,500",0,0,0,0,0,0,0
6,"19,824,309,191",0,0,0,"17,689,885,016",0,0,0,0,0,0,0,"223,831,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,524,836,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,040,576,500",0,"48,601,000",0,0,"4,497,320,000",0,"15,000",0,"2,606,000",0,0,0,0,0,0,0,0,0,0,0,0,"3,778,000",0,0,0,0,0,0,0,0,0,"550,921,500",0,0,"2,082,000",0,0,0,0,0,0,0
7,"13,551,196,500",0,0,0,"8,073,539,500",0,0,0,0,0,0,0,"19,337,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,663,687,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"320,768,500",0,"7,391,000",0,0,"1,157,083,000",0,0,0,0,0,0,0,0,0,0,"2,684,100,257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"44,022,500",0,"1,905,420,500","1,545,000",0,0,0,0,0,0,0
8,"10,159,521,500",0,0,0,"3,874,000,000",0,0,0,0,0,0,"11,166,154,755","599,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"588,362,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"189,269,500",0,0,0,0,"229,140,000",0,0,0,0,0,0,0,0,0,0,"718,845,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,147,151,500",0,"7,650,500",0,"204,126,000","703,000",0,0,0,"1,394,456,500",0,0,0
9,"8,025,924,500",0,0,0,"2,275,932,500",0,0,0,0,0,0,"9,585,270,150","10,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,764,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,693,011,500",0,"174,428,000",0,0,0,0,"12,550,500",0,0,0,0,0,0,0,0,0,0,"120,297,500",0,0,0,0,0,0,0,0,0,"2,051,702,674",0,0,"1,647,926,500","713,261,500",0,"266,500",0,"2,087,000",0,0,0,0,"224,888,000",0,0,0
