week,명량,겨울왕국,인터스텔라,해적: 바다로 간 산적,수상한 그녀,국제시장,트랜스포머: 사라진 시대,군도: 민란의 시대,엣지 오브 투모로우,엑스맨: 데이즈 오브 퓨처 패스트,어메이징 스파이더맨 2,타짜-신의 손,혹성탈출: 반격의 서막,캡틴 아메리카: 윈터 솔져,역린,신의 한 수,끝까지 간다,드래곤 길들이기 2,표적,메이즈 러너,호빗: 다섯 군대 전투,나의 사랑 나의 신부,논스톱,인투 더 스톰,노아,남자가 사랑할 때,루시,기술자들,나를 찾아줘,제보자,피끓는 청춘,두근두근 내 인생,우아한 거짓말,300: 제국의 부활,엑소더스: 신들과 왕들,해무(海霧),인간중독,말레피센트,폼페이: 최후의 날,퓨리,드라큘라: 전설의 시작,가디언즈 오브 갤럭시,찌라시: 위험한 소문,빅매치,슬로우 비디오,방황하는 칼날,로보캅,우리는 형제입니다,애나벨,헝거게임: 모킹제이,카트,관능의 법칙,리오 2,"안녕, 헤이즐",고질라,트랜센던스,상의원,플랜맨,우는 남자,타잔 3D,패션왕,황제를 위하여,더 울프 오브 월스트리트,스텝 업: 올 인,몬스터,노예 12년,또 하나의 약속,소녀괴담,조선미녀삼총사,넛잡: 땅콩 도둑들,마담 뺑덕,다이버전트,주온 : 끝의 시작,좋은 친구들,닌자터틀,명탐정 코난 : 이차원의 저격수,나의 독재자,천재 강아지 미스터 피바디,하이힐,선 오브 갓,잭 라이언 : 코드네임 쉐도우,"극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성",숲속으로,레드카펫,미녀와 야수,비행기 2: 소방구조대,프랑켄슈타인: 불멸의 영웅,"러브, 로지",오큘러스,사랑에 대한 모든 것,노벰버 맨,툼스톤,레고 무비,쓰리데이즈 투 킬,극장판 루팡 3세 VS 명탐정 코난,헤라클레스 : 레전드 비긴즈,"극장판 파워레인저 다이노포스VS고버스터즈 공룡 대결전! ~안녕, 영원한 친구여!~",덕수리 5형제,덤 앤 더머 투,론 서바이버
개봉일,2014- 07- 30,2014- 01- 16,2014- 11- 06,2014- 08- 06,2014- 01- 22,2014- 12- 17,2014- 06- 25,2014- 07- 23,2014- 06- 04,2014- 05- 22,2014- 04- 23,2014- 09- 03,2014- 07- 10,2014- 03- 26,2014- 04- 30,2014- 07- 03,2014- 05- 29,2014- 07- 23,2014- 04- 30,2014- 09- 18,2014- 12- 17,2014- 10- 08,2014- 02- 27,2014- 08- 28,2014- 03- 20,2014- 01- 22,2014- 09- 03,2014- 12- 24,2014- 10- 23,2014- 10- 02,2014- 01- 22,2014- 09- 03,2014- 03- 13,2014- 03- 06,2014- 12- 03,2014- 08- 13,2014- 05- 14,2014- 05- 29,2014- 02- 20,2014- 11- 20,2014- 10- 08,2014- 07- 31,2014- 02- 20,2014- 11- 27,2014- 10- 02,2014- 04- 10,2014- 02- 13,2014- 10- 23,2014- 10- 02,2014- 11- 20,2014- 11- 13,2014- 02- 13,2014- 05- 01,2014- 08- 13,2014- 05- 15,2014- 05- 14,2014- 12- 24,2014- 01- 09,2014- 06- 04,2014- 01- 09,2014- 11- 06,2014- 06- 11,2014- 01- 09,2014- 09- 03,2014- 03- 13,2014- 02- 27,2014- 02- 06,2014- 07- 02,2014- 01- 29,2014- 01- 29,2014- 10- 02,2014- 04- 16,2014- 07- 16,2014- 07- 10,2014- 08- 28,2014- 08- 06,2014- 10- 30,2014- 04- 24,2014- 06- 03,2014- 04- 10,2014- 01- 16,2014- 01- 09,2014- 12- 24,2014- 10- 23,2014- 06- 18,2014- 08- 13,2014- 02- 06,2014- 12- 10,2014- 05- 29,2014- 12- 10,2014- 10- 16,2014- 09- 18,2014- 02- 06,2014- 04- 03,2014- 05- 29,2014- 04- 10,2014- 10- 02,2014- 12- 04,2014- 11- 27,2014- 04- 02
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,193,575,058",0,"3,264,598,500",0,0,"2,496,999,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,676,227,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,"13,032,347,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,217,004,500",0,"973,370,000",0,0,"1,486,626,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,194,714,500","387,555,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,"16,981,652,500",0,0,"10,479,879,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,844,716,000",0,0,0,0,"7,309,402,438",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,602,000",0,"165,102,500",0,0,"324,229,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"172,192,500","12,746,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,"21,692,100,000",0,0,"21,097,658,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,787,319,000",0,0,0,0,"3,480,725,450",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,078,000",0,0,"101,405,000",0,0,0,0,0,"3,143,175,821","2,248,991,500",0,0,0,0,0,0,0,0,0,0,"20,820,500","12,702,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,"13,276,721,500",0,0,"11,986,923,849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,746,866,000",0,0,0,0,"753,096,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,933,000",0,0,"43,118,500",0,0,0,"1,673,248,500",0,"263,439,000","790,187,000",0,0,0,0,0,0,0,0,0,0,"1,000,000",0,0,0,0,0,"2,063,326,623",0,0,0,0,0,"868,055,500",0,0,0,0,0,0,0
7,0,"8,609,609,000",0,0,"8,093,914,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"902,277,000",0,0,0,0,"83,525,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,583,767,000",0,0,0,0,"3,507,864,500",0,0,0,0,0,0,0,0,0,0,"18,689,500",0,0,0,"1,116,028,600",0,"16,264,500","145,932,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"102,974,500",0,0,0,0,0,"325,076,500",0,0,0,0,0,0,0
8,0,"4,685,900,800",0,0,"4,713,888,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"161,395,500",0,0,0,0,"2,722,000",0,0,0,0,0,0,0,"5,749,518,600",0,0,0,"5,501,265,524",0,0,0,"1,433,000,958",0,0,0,0,"1,347,818,100",0,0,0,0,0,0,0,0,0,0,"13,289,500",0,0,0,"407,966,800",0,"47,000","36,098,300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,909,000",0,0,0,0,0,"201,699,100",0,0,0,0,0,0,0
9,0,"2,540,165,300",0,0,"3,170,046,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,852,672,100",0,0,"15,066,300",0,0,0,0,0,0,0,0,0,0,0,0,"3,241,695,400",0,0,0,"2,581,255,963",0,0,0,"258,131,100",0,0,0,0,"577,689,600",0,0,0,0,0,0,0,0,0,0,"2,222,500",0,0,"1,273,564,300","181,587,800",0,0,"15,637,700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"119,854,800",0,0,0,0,0,0,0
10,0,"997,764,400",0,0,"1,639,180,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,297,843,178",0,0,"3,918,000",0,0,0,0,0,0,0,"8,344,306,100",0,0,0,0,"1,052,181,900",0,0,0,"890,956,500",0,0,0,"6,041,900",0,0,0,0,"219,346,100",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,238,781,600","62,733,700",0,0,"3,714,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"42,124,500",0,0,0,0,0,0,0
11,0,"388,789,200",0,0,"815,749,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,412,271,962",0,0,"1,929,500",0,0,0,0,0,0,"4,896,015,300","3,688,032,500",0,0,0,0,"224,286,300",0,0,0,"93,915,100",0,0,0,"461,000",0,0,0,0,"50,915,200",0,0,0,0,0,0,0,0,0,0,0,0,"3,328,802,649","746,799,100","19,135,000",0,0,"3,108,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"28,202,300",0,0,0,0,0,0,0
12,0,"111,197,500",0,0,"334,986,400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,173,601,100",0,"10,416,733,500","70,000",0,0,0,0,0,0,"3,460,691,600","1,134,662,400",0,0,0,0,"19,609,500",0,0,0,"5,081,000",0,0,0,0,0,0,0,0,"7,495,500",0,0,0,0,0,0,0,0,0,0,0,0,"683,200,366","266,331,100","5,663,000",0,0,"9,528,400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,552,500",0,0,0,0,0,0,0
