week,서울의 봄,범죄도시3,엘리멘탈,밀수,더 퍼스트 슬램덩크,가디언즈 오브 갤럭시: Volume 3,미션 임파서블: 데드 레코닝 PART ONE,콘크리트 유토피아,노량: 죽음의 바다,오펜하이머,슈퍼 마리오 브라더스,30일,존 윅 4,천박사 퇴마 연구소: 설경의 비밀,분노의 질주: 라이드 오어 다이,교섭,앤트맨과 와스프: 퀀텀매니아,잠,달짝지근해: 7510,드림,비공식작전,1947 보스톤,스파이더맨: 어크로스 더 유니버스,인디아나 존스: 운명의 다이얼,장화신은 고양이: 끝내주는 모험,명탐정코난: 흑철의 어영,트랜스포머: 비스트의 서막,대외비,극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,아쿠아맨과 로스트 킹덤,프레디의 피자가게,리바운드,더 마블스,귀공자,유령,인어공주,플래시,바비,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",더 문,3일의 휴가,소년들,타겟,서치 2,인시디어스: 빨간 문,싱글 인 서울,스위치,카운트,상견니,더 넌 2,트롤: 밴드 투게더,뽀로로 극장판 슈퍼스타 대모험,웅남이,거미집,던전 앤 드래곤: 도적들의 명예,용감한 시민,화란,크리에이터,옥수역귀신,아임 히어로 더 파이널,소울메이트,메간,나폴레옹,바빌론,베니스 유령 살인사건,멍뭉이,킬링 로맨스,헝거게임: 노래하는 새와 뱀의 발라드,퍼피 구조대: 더 마이티 무비,가문의 영광: 리턴즈,플라워 킬링 문,마루이 비디오,극장판 엉덩이 탐정: 미스터리 가면 ~최강의 대결,극장판 슈퍼윙스: 맥시멈 스피드,보호자,두다다쿵: 후후섬의 비밀,메가로돈 2,그란 투리스모,에브리씽 에브리웨어 올 앳 원스+,캐리와 슈퍼콜라,에어,뉴 노멀,극장판 도라에몽: 진구와 하늘의 유토피아,화사한 그녀,방탄소년단: 옛 투 컴 인 시네마,아이유 콘서트 : 더 골든 아워,말하고 싶은 비밀,악마들,명탐정코난: 하이바라 아이 이야기 ~흑철의 미스터리 트레인,파벨만스,엑소시스트: 믿는 자,샤잠! 신들의 분노,닌자터틀: 뮤턴트 대소동,쏘우 X,익스펜더블 4,바람 따라 만나리 : 김호중의 계절,라일 라일 크로커다일,렌필드,스파이 코드명 포춘
개봉일,2023-11-22,2023-05-31,2023-06-14,2023-07-26,2023-01-04,2023-05-03,2023-07-12,2023-08-09,2023-12-20,2023-08-15,2023-04-26,2023-10-03,2023-04-12,2023-09-27,2023-05-17,2023-01-18,2023-02-15,2023-09-06,2023-08-15,2023-04-26,2023-08-02,2023-09-27,2023-06-21,2023-06-28,2023-01-04,2023-07-20,2023-06-06,2023-03-01,2023-05-04,2023-12-20,2023-11-15,2023-04-05,2023-11-08,2023-06-21,2023-01-18,2023-05-24,2023-06-14,2023-07-19,2023-12-22,2023-03-02,2023-08-02,2023-12-06,2023-11-01,2023-08-30,2023-02-22,2023-07-19,2023-11-29,2023-01-04,2023-02-22,2023-01-25,2023-09-27,2023-12-20,2023-12-13,2023-03-22,2023-09-27,2023-03-29,2023-10-25,2023-10-11,2023-10-03,2023-04-19,2023-03-01,2023-03-15,2023-01-25,2023-12-06,2023-02-01,2023-09-13,2023-03-01,2023-04-14,2023-11-15,2023-10-06,2023-09-21,2023-10-19,2023-02-22,2023-09-28,2023-07-20,2023-08-15,2023-02-15,2023-08-15,2023-09-20,2023-03-01,2023-01-18,2023-04-05,2023-11-08,2023-07-08,2023-10-11,2023-02-01,2023-09-13,2023-12-13,2023-07-05,2023-06-23,2023-03-22,2023-10-18,2023-03-15,2023-09-14,2023-12-13,2023-10-18,2023-10-18,2023-01-18,2023-04-19,2023-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,"5,116,109,846",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,302,946,367",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,224,555,748",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,0,"5,273,971,336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,985,612,032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,021,061,214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,0,"6,126,254,701",0,0,0,0,0,0,0,0,0,0,"11,722,293,735",0,0,0,0,0,0,0,0,"1,264,623,932",0,0,0,0,0,0,0,0,0,"4,189,187,737",0,0,0,0,0,0,0,0,0,0,0,0,"353,094,668",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"612,247,078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"408,940,744",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,0,"4,041,398,782",0,0,0,0,0,0,0,0,0,0,"3,442,527,954",0,0,0,0,0,0,0,0,"568,861,756",0,0,0,0,0,0,0,0,0,"1,379,639,351",0,0,0,0,0,0,0,0,0,0,0,0,"46,642,900",0,"1,672,968,868",0,0,0,0,0,0,0,0,0,0,0,0,"1,442,570,945",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"218,837,550",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"76,168,096",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,"4,507,730,060",0,0,0,0,0,0,0,0,0,0,"1,520,817,371",0,0,0,0,0,0,0,0,"358,271,084",0,0,0,0,0,0,0,0,0,"695,762,677",0,0,0,0,0,0,0,0,0,0,0,0,"8,688,798",0,"843,931,097",0,0,0,0,0,0,0,0,0,0,0,0,"658,273,909",0,"1,127,125,383",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"87,523,359",0,0,0,0,"1,443,169,000",0,0,0,0,0,0,0,0,0,0,0,"7,445,599",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,0,"5,211,537,457",0,0,0,0,0,0,0,0,0,0,"640,278,780",0,0,0,0,0,0,0,0,"271,705,978",0,0,0,0,0,0,0,0,0,"336,561,438",0,0,0,0,0,0,0,0,0,0,0,0,"16,189,000",0,"544,808,033",0,0,0,0,0,0,0,0,0,0,0,0,"194,287,678",0,"562,184,942",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"70,913,156",0,0,0,0,"521,683,000",0,0,0,0,0,0,0,0,0,0,0,"7,232,000",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,0,"4,143,452,526",0,0,0,0,0,0,0,0,0,0,"105,321,540","10,391,284,364",0,0,0,0,0,0,0,"52,361,834",0,0,0,0,0,0,0,0,0,"47,881,377",0,0,0,0,0,0,0,0,0,0,0,0,"3,995,500",0,"245,062,402",0,0,0,0,0,0,0,0,0,0,0,0,"19,881,673",0,"209,271,943",0,0,0,0,0,0,0,0,0,0,0,"465,902,714",0,0,0,"4,839,578",0,0,0,0,"67,067,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,0,"2,957,985,723",0,0,0,0,0,0,0,0,0,0,"8,957,461","4,146,852,410",0,0,0,0,0,0,0,"18,794,473",0,0,0,0,0,0,0,0,0,"9,463,700",0,0,0,0,0,0,0,0,0,"2,264,285,130",0,0,0,"2,485,945,325","141,435,938",0,0,0,0,0,0,0,0,0,0,0,0,"4,854,594",0,"82,956,594",0,0,0,0,0,0,0,"1,205,081,300",0,0,0,"346,617,311",0,0,0,"2,236,998",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,0,"2,382,106,559",0,0,0,0,0,0,0,0,0,0,"2,550,300","1,480,156,468",0,0,0,0,0,0,0,"8,537,126",0,0,"5,433,491,041",0,0,0,0,0,0,"851,599",0,0,0,0,"4,465,860,100",0,0,0,0,"1,249,750,254",0,0,0,"873,482,633","56,942,200",0,0,0,0,0,0,0,0,0,0,"3,698,210,500",0,"2,471,099",0,"55,103,965",0,"1,099,923,015",0,0,0,0,0,"381,873,800",0,0,0,"207,885,575",0,0,"256,657,997",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,0,0,"1,638,727,875",0,0,0,0,0,0,0,0,0,0,"152,599","263,328,222",0,0,0,0,0,0,0,"3,574,892",0,0,"1,543,446,866",0,0,0,0,0,0,"572,000",0,0,0,0,"1,224,625,900",0,0,0,0,"343,513,584",0,0,0,"190,366,972","52,688,500",0,0,0,0,0,0,0,0,0,0,"930,099,000",0,"6,552,000",0,"28,569,581",0,"321,510,742",0,0,0,0,0,"75,921,900",0,0,0,"65,081,296",0,0,"124,857,399",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
